,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
2770,ts76771,Stretch Armstrong & the Flex Fighters,SHOW,"When overscheduled teenager Jake Armstrong and his two best friends are accidentally exposed to an experimental chemical, they become Stretch Armstrong and the Flex Fighters, a team of unlikely superheroes who expand beyond the confines of their lives and embark on a series of adventures.",2017,TV-G,23,"['action', 'comedy', 'scifi', 'animation']",['US'],2.0,tt1379164,6.2,307.0,5.244,7.6
2771,tm299730,Lucid Dream,MOVIE,"Dae-ho, an investigative journalist, seeks to track down the whereabouts of his son who was abducted three years ago. With the help of a detective and a psychiatrist friend, he will retrace his memory of the incident through the use of lucid dreaming techniques.",2017,,101,"['thriller', 'scifi']",['KR'],,tt6830780,6.1,3575.0,13.263,6.3
2772,ts84179,Made in Mexico,SHOW,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",2018,,50,['reality'],['US'],1.0,tt8871764,3.9,760.0,4.893,7.5
2773,ts79585,Dinotrux: Supercharged,SHOW,"Amped up with powers that make them faster, stronger and more agile than ever, the Dinotrux are back to face new challenges and meet new friends.",2017,TV-Y7,23,"['family', 'animation', 'action', 'comedy']",['US'],3.0,tt7620702,7.5,94.0,9.488999999999999,9.4
2775,tm408871,Jefe,MOVIE,"Cesar is 'the boss', the one everyone hates, the one some flatter and the one nobody tells the truth; the great successful businessman is on the edge of the precipice. One night his actions crumble down, his partners betray him and his wife kicks him out of the house. Entrenched in his office, he tries relentlessly to recover his company and his life. But he will not do it alone, César will find a very special ally, Ariana, the cleaner of the night shift.",2018,,89,"['comedy', 'european']",['ES'],,tt7527538,5.4,1073.0,3.865,5.6
2776,ts222363,Monkart,SHOW,Jin and his dragon monster Draka set out on a racing adventure and try to save the kingdom from evil forces.,2017,TV-Y7,12,[],['KR'],1.0,,,,2.532,
2777,ts75750,Revolutionary Love,SHOW,"Byun Hyuk is the younger son of a rich conglomerate family who was born with a silver spoon in his mouth. The lack of difficulties in life contributed to the carefree and hopelessly positive mindset of his. One day, he meets a girl who is everything that he is not. This drama is a depiction of youth where they learn about love and friendship.",2017,TV-MA,68,"['comedy', 'romance']",['KR'],1.0,tt7340800,6.9,666.0,5.915,8.6
2778,ts76540,Dennis & Gnasher Unleashed!,SHOW,"An animated series about a 10-year-old much-loved mischief-maker Dennis, his fearless friends and their hometown.",2017,TV-Y7,13,"['animation', 'comedy']",['GB'],2.0,tt7081512,7.3,82.0,1.4,7.0
2781,tm361588,Mission Kathmandu: The Adventures of Nelly & Simon,MOVIE,"Quebec, 1956. The impulsive and headstrong Nelly Maloye, a novice private eye, joins the methodical and pragmatic Simon Picard, a research scientist in a dubious quest to prove the existence of the elusive Yeti. The brave-hearted heroes come face-to-face with countless dangers during their trek through the heart of the Himalayas.",2017,,84,"['animation', 'comedy']",['CA'],,tt5433884,5.1,434.0,9.009,5.6
2782,tm307767,Baadshaho,MOVIE,"Emergency has been declared in India. Maharani Gitanjali from one of Rajasthan's princely states has already lost her privy purse. Now, she fears that she will lose the last treasure chest of gold which has been forcibly taken away from her. So she asks her trusted lieutenant, Bhawani to step in and plan a heist.",2017,,136,"['action', 'thriller']",['IN'],,tt4906960,5.0,4783.0,3.054,5.8
2785,tm413082,Recovery Boys,MOVIE,"In the heart of America's opioid epidemic, four men try to reinvent their lives and mend their broken relationships after years of drug abuse.",2018,,90,['documentation'],['US'],,tt8167872,6.7,714.0,6.523,6.6
2787,tm446424,Christmas with a Prince,MOVIE,"Pediatric specialist Tasha Mason is focused on one thing; keeping the kids in her ward as healthy and happy as possible. So when her high-school crush, who just happens to be handsome Prince Alexander Cavalieri, breaks his leg on a nearby ski-slope, Tasha is forced to allow him to secretly get well on her floor and she’s furious that a spoiled Royal is interrupting the precious healing time her kids so badly need. Soon, however, Tasha learns that some tough love and a lot of Christmas spirit, could turn this royal pain into a knight in shining armor.",2018,,82,"['romance', 'drama']",['CA'],,tt8667202,5.2,1627.0,8.263,5.1
2788,tm327219,Buddy Thunderstruck: The Maybe Pile,MOVIE,"Champion truck-racing dog Buddy and his best friend, ferret mechanic Darnell, paw through the ""maybe pile"" and test out a bunch of crazy stunts.",2017,,13,['comedy'],['US'],,,,,2.676,7.5
2790,tm316658,Frat Star,MOVIE,"""Frat Star"" explores the alluring, superficial, manipulative, and dark world of Ivy League fraternity culture. An insecure, poor, and broken-hearted Nick enters freshman year with no interest in fraternities. This all changes when his old money roommate Billy convinces him to pledge.",2017,,85,"['drama', 'comedy']",['US'],,tt5117484,3.6,659.0,4.985,4.9
2791,ts86067,Death by Magic,SHOW,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.",2018,TV-14,33,['reality'],['US'],1.0,tt8887956,6.1,629.0,2.7569999999999997,6.9
2793,tm372061,Sudani from Nigeria,MOVIE,"When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences.",2018,PG,123,"['comedy', 'drama', 'family', 'sport']",['IN'],,tt7582102,8.2,4159.0,4.255,7.1
2796,tm445153,Njan Prakashan,MOVIE,"Pining for a lavish life abroad, a lazy but lovable guy next door crafts a scam to avoid a career in nursing and find a wealthy spouse to secure a visa.",2018,G,131,"['comedy', 'drama']",['IN'],,tt8286926,7.6,4304.0,4.269,6.8
2798,ts82085,Ainori Love Wagon: Asian Journey,SHOW,"Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.",2017,,27,['reality'],['JP'],2.0,tt11542960,6.8,271.0,1.992,7.1
2799,tm438994,The Holiday Calendar,MOVIE,A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future -- and pointing her toward love.,2018,,95,"['romance', 'comedy', 'drama', 'fantasy']",['US'],,tt8262802,5.7,9985.0,9.382,6.7
2802,ts229123,Little Singham,SHOW,"This animated series showcases the fun and thrilling adventures of Little Singham, a brave kid super-cop with lion powers, as he defends his town and the world from evil villains, scary mutants and even aliens .",2018,,12,['action'],['IN'],2.0,tt11151836,3.5,91.0,1.181,4.0
2803,ts83204,Million Pound Menu,SHOW,Participants try to convince a jury that their new restaurant ideas could work.,2018,,59,['reality'],['GB'],2.0,tt8488494,6.5,563.0,2.093,6.2
2804,tm363003,Seeing Allred,MOVIE,"Gloria Allred overcame trauma and personal setbacks to become one of the nation’s most famous women’s rights attorneys. Now the feminist firebrand takes on two of the biggest adversaries of her career, Bill Cosby and Donald Trump, as sexual violence allegations grip the nation and keep her in the spotlight.",2018,,96,['documentation'],['US'],,tt7689924,7.2,1338.0,6.667999999999999,6.9
2807,ts75491,Fire Chasers,SHOW,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",2017,,58,['documentation'],['US'],1.0,tt7293754,6.6,368.0,3.458,6.3
2808,ts82564,Jimmy: The True Story of a True Idiot,SHOW,"In the 1980s, a simple-minded fool named Hideaki meets comedy legend Sanma, changes his name to Jimmy and becomes a comedic superstar.",2018,TV-MA,42,"['drama', 'comedy']",['JP'],1.0,tt6866914,6.8,77.0,1.2890000000000001,5.0
2810,tm440946,Christmas with a View,MOVIE,"This Christmas, Thunder Mountain Ski Resort is abuzz when celebrity chef Shane Roarke is named the new head chef. Clara Garrison isn't as excited and is instead focused on getting resettled after her failed attempt at opening a restaurant in the city. With their paths constantly crossing, will their shared passion for cooking bring them together or will secrets keep them apart?",2018,,90,"['romance', 'drama']",['CA'],,tt8041006,5.1,4544.0,11.557,5.8
2811,ts83430,Smoking,SHOW,"Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.",2018,TV-MA,24,"['drama', 'crime', 'comedy']",['JP'],2.0,tt8758778,7.4,456.0,4.229,8.3
2812,tm463827,Paranormal Investigation,MOVIE,A ghost hunter investigates an evil spirit dwelling within a young man who reportedly became possessed after playing with a Ouija board.,2018,,92,"['thriller', 'horror']",['FR'],,tt9866700,3.7,1652.0,3.089,4.4
2814,tm432327,C/o Kancharapalem,MOVIE,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",2018,PG,152,['drama'],['IN'],,tt7391996,9.0,6562.0,2.096,7.6
